time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
483328,84,16.805999999999997,5700,163.58,59,-0.060319761381106216,0.6093809057259932,0.2,0.8965470939874649,0.00041385954482393573,0.5121883153915405,580,0.0003,0.02935791015625,0.0036591943
491520,86,16.803,5700,163.37,60,-0.06491983561281814,0.5473135492531582,0.2,0.9007747992873192,0.00044897402749484173,0.507235586643219,590,0.0003,0.03228759765625,0.00353973
499712,87,16.36,5696,159.75,61,-0.05756268764234847,0.5549248844385147,0.2,0.8979948610067368,0.0016160561161996157,0.36678823828697205,600,0.0003,0.0266357421875,0.003374543
507904,89,16.868000000000002,5694,164.11,62,-0.05594036267939373,0.6595102819846943,0.2,0.8888618722558022,0.00074151732314931,0.3463371992111206,610,0.0003,0.02738037109375,0.0049542133
516096,90,17.605,5693,170.22,63,-0.05763373819172557,0.4828199654177297,0.2,0.9243113324046135,0.0016818540921121894,0.2179383635520935,620,0.0003,0.029638671875,0.0022124443
524288,92,17.4,5691,168.44,64,-0.059968204460165,0.5232331688748673,0.2,0.917649045586586,0.001278024561361235,0.2240779548883438,630,0.0003,0.024853515625,0.0023986504
532480,93,16.477,5692,160.74,65,-0.05861481304673362,0.48146907943300904,0.2,0.9150998964905739,0.0013893110412936949,0.15519972145557404,640,0.0003,0.025732421875,0.0032410335
540672,94,15.694,5691,154.44,66,-0.05521067309491627,0.569349824578967,0.2,0.9097924903035164,0.0013219246722655953,0.11915303766727448,650,0.0003,0.0255615234375,0.0038478915
548864,96,16.143,5691,158.3,67,-0.05326423462283856,0.3374786549829878,0.2,0.9392555244266987,0.0020493586996963133,0.15261240303516388,660,0.0003,0.026708984375,0.0035321326
557056,97,16.964000000000002,5690,164.89,68,-0.05502318979924894,0.4748694999143481,0.2,0.9241496697068214,0.0015064148259625655,0.4240540564060211,670,0.0003,0.0269775390625,0.0058541703
565248,99,17.343999999999998,5691,167.88,69,-0.05400569325465767,0.45127287216018885,0.2,0.9256667494773865,0.0016875668243301334,0.18975503742694855,680,0.0003,0.0240478515625,0.0017870731
573440,100,17.537,5690,169.45,70,-0.056203241445473395,0.4795917819137685,0.2,0.9254690259695053,0.0015316498333049823,0.39880305528640747,690,0.0003,0.027587890625,0.004779421
581632,102,16.852999999999998,5691,163.96,71,-0.0528000251037156,0.4388098081573844,0.2,0.9298295825719833,0.0024225308762652275,0.2537457346916199,700,0.0003,0.027734375,0.002648384
589824,103,16.500999999999998,5691,161.25,72,-0.05377248611202958,0.5033978588529863,0.2,0.9210780039429665,0.002083153981220676,0.16789092123508453,710,0.0003,0.02457275390625,0.0026860088
598016,105,16.358999999999998,5692,160.1,73,-0.05314115283472347,0.5441242867615074,0.2,0.9058322608470917,0.0010185071747855546,0.17206256091594696,720,0.0003,0.02862548828125,0.0029762494
606208,106,16.641,5692,162.29,74,-0.05677404896559892,0.49246392025379465,0.2,0.9124202206730843,0.0006369570450260653,0.23355937004089355,730,0.0003,0.0287109375,0.004569104
614400,107,16.804000000000002,5692,163.56,75,-0.05714097969321301,0.36502349881920965,0.2,0.9239283502101898,0.0013204934746681829,0.12950152158737183,740,0.0003,0.0255859375,0.0034671053
622592,109,16.144999999999996,5693,158.14,76,-0.05636917816591449,0.43058163780369796,0.2,0.9225843474268913,0.0010381271923506573,0.15177364647388458,750,0.0003,0.02679443359375,0.0030050103
630784,110,16.26,5693,159.11,77,-0.05128636851877673,0.4924397580034565,0.2,0.9192016050219536,0.0020401534396114586,0.19846123456954956,760,0.0003,0.02960205078125,0.0048494935
638976,112,16.5,5693,161.15,78,-0.04941487269043136,0.4447731344378553,0.2,0.9264751896262169,0.0014195104080499733,0.2515632212162018,770,0.0003,0.02491455078125,0.0022024417
647168,113,16.495,5693,161.1,79,-0.050179978241794744,0.4577376384579111,0.2,0.9217963516712189,0.0011563048803509446,0.16775614023208618,780,0.0003,0.02322998046875,0.0056295833
655360,115,17.555999999999997,5694,169.64,80,-0.050788980508150415,0.3963308858277742,0.2,0.9320469051599503,0.0018220246814962594,0.1666845679283142,790,0.0003,0.0245361328125,0.0022674627
663552,116,18.2,5694,174.91,81,-0.05239315142462146,0.422073686553631,0.2,0.9212421253323555,0.0015282712307453038,0.25030797719955444,800,0.0003,0.02694091796875,0.0027733196
671744,117,18.0,5694,173.36,82,-0.05493230565916747,0.4918224644265138,0.2,0.9138632118701935,0.0013851947735020076,0.5188153982162476,810,0.0003,0.02318115234375,0.002506167
679936,119,17.480999999999998,5695,169.07,83,-0.05546732515686017,0.576921749371104,0.2,0.9009428843855858,0.0020731316855744806,0.22740967571735382,820,0.0003,0.0314453125,0.0018185761
688128,120,16.844,5695,163.78,84,-0.0570931512855168,0.49219935647561214,0.2,0.918620228767395,0.0011838726220048557,0.37191224098205566,830,0.0003,0.02838134765625,0.004662383
696320,122,17.203999999999997,5696,166.57,85,-0.049390670116463295,0.5039895877009257,0.2,0.9098460152745247,0.0019367936874914449,0.5451657176017761,840,0.0003,0.02410888671875,0.0050887936
704512,123,17.444000000000003,5696,168.61,86,-0.0481140479005262,0.42188475945731624,0.2,0.9329129382967949,0.002533640973342699,0.13257178664207458,850,0.0003,0.0271728515625,0.0030162458
712704,125,17.636,5697,170.08,87,-0.050492549593764126,0.33527008748496884,0.2,0.9461714401841164,0.0019098977523754,0.0664459615945816,860,0.0003,0.02379150390625,0.003976087
720896,126,17.598,5697,169.7,88,-0.049088477714849435,0.4746217167936265,0.2,0.9160129353404045,0.0011730846300451957,0.16814270615577698,870,0.0003,0.023828125,0.002618673
