time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss
67,202752,15.77,155.02,3018,99,0.2,0.8369148820638657,0.30283087491989136,0.0053232433,0.035205078125,980,0.0003,0.0012576027984323446,-0.08767743907519616,0.7775391676928848
67,204800,15.681,154.31,3019,100,0.2,0.8649299740791321,0.17794418334960938,0.0035009617,0.039599609375,990,0.0003,-0.0006005569855915382,-0.08740684455260635,0.4736935418099165
68,206848,15.807999999999998,155.4,3020,101,0.2,0.8149834722280502,0.21695354580879211,0.003944412,0.034814453125,1000,0.0003,0.0007487385693821125,-0.08318900189478881,0.634515716927126
69,208896,15.633,153.92,3020,102,0.2,0.8502998799085617,0.40220391750335693,0.0031938406,0.026123046875,1010,0.0003,0.0010720836813561617,-0.07416016655042768,0.6809755981434137
69,210944,16.05,157.28,3021,103,0.2,0.9017028361558914,0.2522237002849579,0.001972692,0.018017578125,1020,0.0003,0.0008769602769461926,-0.07008757467847318,0.5077643986791373
70,212992,15.639000000000001,153.89,3022,104,0.2,0.9294235780835152,0.12429536879062653,0.0066528553,0.0267578125,1030,0.0003,0.00040939764367067257,-0.06657838278915733,0.37420948608778415
71,215040,15.84,155.36,3022,105,0.2,0.9395387545228004,0.14269152283668518,0.0036244325,0.022021484375,1040,0.0003,0.0003132870355329942,-0.06858719013398513,0.3359202214051038
71,217088,15.775,154.8,3023,106,0.2,0.8577577173709869,0.1864270716905594,0.003276614,0.030322265625,1050,0.0003,-0.00023438995413016528,-0.06278691485058516,0.499102751724422
72,219136,15.617000000000003,153.4,3023,107,0.2,0.8567456901073456,0.254194438457489,0.0019313531,0.02353515625,1060,0.0003,-0.00019923843938158826,-0.05968543902417878,0.6343850918114186
73,221184,15.353,151.21,3024,108,0.2,0.8622857928276062,0.0994209349155426,0.0034255367,0.027294921875,1070,0.0003,-0.0027880430097866338,-0.06004154630354606,0.5976050138939172
73,223232,15.554,152.86,3024,109,0.2,0.8996866047382355,0.1929694414138794,0.0052724206,0.038330078125,1080,0.0003,-0.0016076855987193993,-0.05306316684873309,0.34223761009052395
74,225280,15.443,152.02,3025,110,0.2,0.9088228046894073,0.2439531832933426,0.003567505,0.02978515625,1090,0.0003,0.0002986314742884133,-0.05391195467382204,0.4150674181059003
75,227328,15.505,152.55,3025,111,0.2,0.9094038084149361,0.2849080562591553,0.0026814248,0.027294921875,1100,0.0003,0.0008192213354050182,-0.06264680928434245,0.38877737836446613
75,229376,15.35,151.45,3025,112,0.2,0.9044100493192673,0.2047973871231079,0.0022940557,0.026025390625,1110,0.0003,-0.0002517533052014187,-0.06288032203447073,0.4547317388001829
76,231424,15.581,153.4,3026,113,0.2,0.8843833580613136,0.5101077556610107,0.0010201631,0.018408203125,1120,0.0003,0.0004834496299736202,-0.060244801692897455,0.5830294322222471
77,233472,15.648,154.07,3026,114,0.2,0.8759360983967781,0.14867472648620605,0.008697807,0.027294921875,1130,0.0003,-0.0003925784811144695,-0.0667575438390486,0.6285717133432627
77,235520,15.782,155.23,3026,115,0.2,0.932245522737503,0.18471452593803406,0.0028129392,0.030322265625,1140,0.0003,-0.00015736322529846802,-0.07601532736443914,0.37216491447761657
78,237568,15.566,153.61,3027,116,0.2,0.8891165181994438,0.3025449216365814,0.012718356,0.038037109375,1150,0.0003,-0.0007920898831798695,-0.07559799854061566,0.5729261200409382
79,239616,15.494000000000002,152.98,3027,117,0.2,0.9185969606041908,0.14002099633216858,0.012472048,0.04013671875,1160,0.0003,-0.0017760368122253568,-0.08671141110826283,0.4147191760595888
79,241664,15.436,152.49,3028,118,0.2,0.8079821914434433,0.6004440784454346,0.0023694886,0.03798828125,1170,0.0003,-0.0022170650023326743,-0.09107028592843562,0.7482453022617847
