time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
135,33.988,4775,300.93,647168,79,0.0007444096,0.24597758054733276,780,2.3964725143508985,1.2938863039016724,0.015535442,-0.11811321607674471,-0.0009172972077067243,0.0568359375,0.2
137,36.128,4775,317.83,655360,80,0.0007411328,0.1897243857383728,790,2.2188811423722656,0.4409501850605011,0.009974372,-0.11826801224087831,-0.0011403647617044045,0.0555419921875,0.2
138,36.363,4775,319.46,663552,81,0.0007378560000000001,0.34004396200180054,800,1.4262797929579392,0.9595128297805786,0.008486804,-0.11316487242293079,0.0026728502632977326,0.0536865234375,0.2
140,40.068,4775,349.67,671744,82,0.0007345792,0.3678722381591797,810,1.339310463622678,0.31585341691970825,0.011366194,-0.10156636860629079,0.000836962080484227,0.04774169921875,0.2
142,42.927,4775,372.86,679936,83,0.0007313024,0.25731414556503296,820,1.7276338935364037,0.5583720803260803,0.03323993,-0.134539221029263,-0.00542360714989627,0.0734619140625,0.2
144,50.18600000000001,4774,431.68,688128,84,0.0007280256000000001,0.43654340505599976,830,1.0551075406256132,0.37347856163978577,0.018163614,-0.1159382378711598,0.003357926842818415,0.0502197265625,0.2
145,55.41,4774,474.11,696320,85,0.0007247487999999999,0.4055554270744324,840,1.104796197474934,0.5814792513847351,0.004935839,-0.09948852132074534,0.0026285359400390006,0.0403564453125,0.2
147,62.29,4773,529.68,704512,86,0.000721472,0.5358200669288635,850,0.8908322465256788,0.1493038386106491,0.0067908787,-0.10291775661025895,0.0027399706472351682,0.0446044921875,0.2
149,62.50899999999999,4773,531.78,712704,87,0.0007181952000000001,0.2335447072982788,860,0.9836087799747475,0.18139782547950745,0.006037147,-0.09834939362190198,0.0026135319281820556,0.0457275390625,0.2
151,67.97699999999999,4770,576.2,720896,88,0.0007149184,0.14356815814971924,870,1.4144627207657323,0.19521349668502808,0.009212749,-0.10398403974540997,6.394013453245862e-05,0.04346923828125,0.2
152,65.879,4767,559.09,729088,89,0.0007116416,0.341511607170105,880,1.1281881710747257,0.37775248289108276,0.00887579,-0.09229023650550516,0.0019376384874703946,0.04193115234375,0.2
154,66.921,4766,567.62,737280,90,0.0007083648,0.31944388151168823,890,1.5338078369619326,0.6758041977882385,0.009902975,-0.10291545548825524,0.00042724737468233796,0.034326171875,0.2
156,63.287,4764,538.03,745472,91,0.000705088,0.24075812101364136,900,1.7914054282242433,0.7133422493934631,0.009661155,-0.09312942106625996,-4.1558279735909307e-05,0.0396484375,0.2
158,48.37400000000002,4761,417.61,753664,92,0.0007018112000000001,0.433216392993927,910,1.2015696028247476,0.6524559855461121,0.011615431,-0.11654307360295206,-6.613640662180841e-05,0.0667724609375,0.2
160,42.39400000000001,4760,369.33,761856,93,0.0006985344,0.32181912660598755,920,2.2244791065342726,1.3443981409072876,0.012954794,-0.13029281446360982,0.003635575095358945,0.04365234375,0.2
161,41.882000000000005,4758,365.38,770048,94,0.0006952575999999999,0.43458789587020874,930,1.8535064703784883,0.34181246161460876,0.011694214,-0.10539483342290623,-0.001827507646066806,0.0516845703125,0.2
163,44.578,4758,387.12,778240,95,0.0006919808000000001,0.24499189853668213,940,1.4417248919489793,0.30304622650146484,0.021462085,-0.13182450158055872,0.0010395012483058962,0.079052734375,0.2
165,46.751000000000005,4756,404.8,786432,96,0.0006887039999999999,0.2558909058570862,950,1.2553715607733467,0.3401027321815491,0.0077732736,-0.11442022206319961,0.002058787693385966,0.0473388671875,0.2
167,52.410999999999994,4757,450.69,794624,97,0.0006854272,0.3043828010559082,960,0.8964424729696475,0.2931492030620575,0.0066316384,-0.09793446103940369,0.002173096891692694,0.05067138671875,0.2
168,58.99599999999999,4756,503.85,802816,98,0.0006821504000000001,0.4055798649787903,970,1.3310421730566304,0.8346643447875977,0.009679945,-0.11561379086633679,0.0025570315152435795,0.04141845703125,0.2
170,63.797000000000004,4756,542.68,811008,99,0.0006788736,0.3142414093017578,980,0.8918721839785576,2.6638600826263428,0.013689436,-0.11537671990517992,0.003611888335854019,0.0548095703125,0.2
172,69.284,4756,587.02,819200,100,0.0006755968,0.4108392596244812,990,1.2505311440909281,0.8669235110282898,0.00802126,-0.11285234093666077,0.0016893095875275322,0.04952392578125,0.2
173,73.44900000000001,4756,620.57,827392,101,0.00067232,0.37654900550842285,1000,1.629095279518515,0.2673417925834656,0.008607825,-0.1126358114182949,0.00037552811645582553,0.0485595703125,0.2
175,78.73899999999999,4756,663.21,835584,102,0.0006690432,0.5356725752353668,1010,1.0079766155569814,0.2461247742176056,0.009575137,-0.10121099802490789,0.003342021502703574,0.0521240234375,0.2
