rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
25.353999999999996,4793,458752,56,232.14,95,-0.11956543119304115,0.8256156845483928,0.027533969,0.5772156417369843,0.2,0.06966552734375,0.003,1.251534342765808,0.0062814891576636,550
20.377,4793,466944,57,191.82,97,-0.10386328346212395,0.9378933988627978,0.024096217,0.5852499306201935,0.2,0.05733642578125,0.003,0.3529472053050995,0.005100635106828122,560
15.145,4792,475136,58,148.86,99,-0.09902184804377612,0.8435461088549345,0.06620292,0.6336905658245087,0.2,0.10762939453125,0.003,0.3524465560913086,0.0007244921267556492,570
13.807,4792,483328,59,138.0,100,-0.11978691878757672,0.9650429795728996,0.03864175,0.5383067727088928,0.2,0.1203369140625,0.003,0.8011363744735718,0.015842993260775984,580
13.235999999999999,4791,491520,60,134.27,102,-0.10439285187676432,0.725966326345224,0.031168405,0.7268655002117157,0.2,0.10701904296875,0.003,0.31672659516334534,0.014980344489049457,590
13.463,4791,499712,61,136.0,104,-0.1179481409730215,0.7208227589260787,0.02249718,0.7778120785951614,0.2,0.08707275390625,0.003,0.34721386432647705,0.003965841497483779,600
14.205000000000002,4790,507904,62,141.8,106,-0.13613151932950132,0.753840860631317,0.016747897,0.7494355142116547,0.2,0.07900390625,0.003,0.21860359609127045,-0.005653110423554608,610
14.461000000000002,4788,516096,63,144.09,107,-0.11603275866655167,0.6549013970536179,0.019827873,0.7737763971090317,0.2,0.07724609375,0.003,0.2370034009218216,0.005018558312985988,620
15.854000000000001,4785,524288,64,155.5,109,-0.12903168420889416,0.7476989287650213,0.024215627,0.7631343305110931,0.2,0.08148193359375,0.003,0.21587581932544708,-0.0049399572133552285,630
17.775,4782,532480,65,170.75,111,-0.09509688153775642,0.6228856972535141,0.023795981,0.7315867245197296,0.2,0.07078857421875,0.003,0.14606837928295135,0.003705959865692421,640
19.256,4778,540672,66,182.23,113,-0.07946525471215864,0.7956075307563879,0.023565404,0.6612385213375092,0.2,0.06663818359375,0.003,0.46730920672416687,0.0004996222612135171,650
16.805999999999997,4777,548864,67,162.77,114,-0.18745482175145298,0.6361520320759155,0.041137505,0.6830051243305206,0.2,0.18314208984375,0.003,0.2804405689239502,0.002103065332630649,660
12.699999999999998,4776,557056,68,130.08,116,-0.20324031431227924,0.713393664942123,0.041178025,0.5853271186351776,0.2,0.14716796875,0.003,0.33022576570510864,-0.0074853805494058175,670
12.856,4775,565248,69,131.28,118,-0.1898896007827716,0.7394622768741101,0.03395107,0.6593793034553528,0.2,0.1096923828125,0.003,0.12623870372772217,0.006890067079984874,680
14.344000000000001,4775,573440,70,143.19,120,-0.210062922880752,0.7635647907620295,0.018628953,0.7039375901222229,0.2,0.08521728515625,0.003,0.2607516348361969,0.000769176550602424,690
17.919999999999998,4774,581632,71,172.2,121,-0.19354164446122013,0.7928787643904798,0.025499772,0.6173504292964935,0.2,0.0812744140625,0.003,0.33153384923934937,-0.0009657422500822576,700
15.868000000000002,4770,589824,72,155.64,123,-0.2135211337066721,0.8359215434174985,0.047601342,0.5224018394947052,0.2,0.13006591796875,0.003,0.295486718416214,0.003722489937536011,710
12.342000000000002,4769,598016,73,126.95,125,-0.21586689143441617,0.7680039446102456,0.05540586,0.5038407444953918,0.2,0.1698974609375,0.003,0.16334523260593414,-0.018722663409425876,720
13.332000000000003,4769,606208,74,135.05,127,-0.1810335220216075,0.7775349352043122,0.028179515,0.6087810695171356,0.2,0.085546875,0.003,0.3952538073062897,0.008996829835814424,730
12.831000000000001,4768,614400,75,131.21,128,-0.15951957805955316,0.8007806039764546,0.016817713,0.7162481248378754,0.2,0.0611328125,0.003,0.28526046872138977,0.0013986838206619724,740
13.899000000000001,4768,622592,76,139.73,130,-0.16877316505997442,0.8563466951949522,0.04480949,0.6637698113918304,0.2,0.0898681640625,0.003,0.6530199646949768,0.002854174395542941,750
18.389,4766,630784,77,175.81,132,-0.14620066112256608,0.7816220241249539,0.028002694,0.6071712374687195,0.2,0.08060302734375,0.003,0.1859787255525589,0.009145370224177895,760
21.250999999999998,4765,638976,78,199.21,134,-0.14467207800771575,0.8774945555953308,0.033230923,0.36481964588165283,0.2,0.08082275390625,0.003,0.3879152238368988,0.005074321842403151,770
22.788,4763,647168,79,211.61,135,-0.1501370964688249,1.0691177340922877,0.017861819,0.38439643383026123,0.2,0.07554931640625,0.003,0.4537063241004944,0.0053158646936935835,780
23.033,4763,655360,80,213.79,137,-0.12186213391833008,0.9585327430278994,0.043442506,0.4928584694862366,0.2,0.083154296875,0.003,0.5064218640327454,0.008319015632514493,790
26.031,4762,663552,81,237.74,139,-0.11829627278202678,1.0497620000038297,0.03179218,0.4909852147102356,0.2,0.0658203125,0.003,0.8123186826705933,0.0019097558235444013,800
27.554999999999996,4761,671744,82,250.1,141,-0.12778473326470702,1.0965925608179532,0.028344804,0.4782262444496155,0.2,0.08494873046875,0.003,0.2996691167354584,0.003255185242551306,810
