time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/learning_rate
8,159744,78,19093,101.0,9.0,770,-0.04253990002835053,0.312060546875,0.07592742,-0.05217837542295456,0.02023060426581651,-0.41468438096344473,0.2,0.9896338796243072,0.0003
8,161792,79,19195,101.0,9.0,780,-0.0484181005434948,0.33779296875,0.08890757,-0.06164471060037613,0.022788755629153456,-0.42620916962623595,0.2,0.9881228310987353,0.0003
8,163840,80,19295,101.0,9.0,790,-0.03265855527424719,0.341015625,0.074639365,-0.06418543308973312,0.016710119384515564,-0.443728344514966,0.2,0.9848551414906979,0.0003
8,165888,81,19396,101.0,9.0,800,-0.04178036586527014,0.36884765625,0.057514004,-0.06236938759684563,0.015378247802436818,-0.4719748112373054,0.2,0.9931200970895588,0.0003
8,167936,82,19496,101.0,9.0,810,-0.03400357705831993,0.33427734375,0.06350714,-0.02921527996659279,0.013649470140808261,-0.45898713963106275,0.2,0.9956092843785882,0.0003
8,169984,83,19597,101.0,9.0,820,-0.022392557621060405,0.299267578125,0.05243008,-0.008204983547329903,0.013113816879922524,-0.44999089343473314,0.2,0.9967245147563517,0.0003
8,172032,84,19698,101.0,9.0,830,-0.02128815813412075,0.302783203125,0.054717716,-0.007260974496603012,0.011917757108312799,-0.4272866839542985,0.2,0.9972198607865721,0.0003
8,174080,85,19805,101.0,9.0,840,-0.02312532167052268,0.286181640625,0.051423702,-0.023128647357225418,0.012429309055005434,-0.4367147574201226,0.2,0.9969710756558925,0.0003
8,176128,86,19912,101.0,9.0,850,-0.025706180263659915,0.31513671875,0.05280667,-0.034235354512929916,0.013030372271168744,-0.44295674553140996,0.2,0.9967870835680515,0.0003
8,178176,87,20020,101.0,9.0,860,-0.026354738909867594,0.328955078125,0.06451236,-0.039410050958395004,0.009932039287741645,-0.42931555276736616,0.2,0.9974650430958718,0.0003
8,180224,88,20129,101.0,9.0,870,-0.02988234459044179,0.333544921875,0.091417536,-0.022141166031360626,0.011221356460737297,-0.40727208834141493,0.2,0.9972276191692799,0.0003
9,182272,89,20239,101.0,9.0,880,-0.028916791846859267,0.348779296875,0.081132464,-0.022083403542637825,0.011749179889739026,-0.39816031185910106,0.2,0.9970338062848896,0.0003
9,184320,90,20351,101.0,9.0,890,-0.02944758287121658,0.321875,0.08604522,-0.017521824687719345,0.009697424590558511,-0.3916753903962672,0.2,0.9972767920698971,0.0003
9,186368,91,20463,101.0,9.0,900,-0.033351328206481415,0.331591796875,0.09181472,-0.03093276359140873,0.009709980258048746,-0.3969920220784843,0.2,0.9974295296706259,0.0003
9,188416,92,20575,101.0,9.0,910,-0.034002491670253224,0.34326171875,0.102648824,-0.0432547852396965,0.00997449332535325,-0.3739273062907159,0.2,0.9973009447567165,0.0003
9,190464,93,20687,101.0,9.0,920,-0.0391431851166999,0.296044921875,0.09897955,-0.07730630040168762,0.01290271971229231,-0.35204514120705427,0.2,0.9946429370902479,0.0003
9,192512,94,20801,101.0,9.0,930,-0.04257200144347735,0.325830078125,0.099334076,-0.07537870109081268,0.011866804641613271,-0.3665985309518874,0.2,0.9947384810075164,0.0003
9,194560,95,20916,101.0,9.0,940,-0.04738190352800302,0.35556640625,0.09341864,-0.01531095802783966,0.011197156799607911,-0.4025050067342818,0.2,0.9963091583922505,0.0003
9,196608,96,21033,101.0,9.0,950,-0.04836601478455123,0.320556640625,0.11790669,-0.0720960795879364,0.022211890168546234,-0.3560390490107238,0.2,0.9898255094885826,0.0003
9,198656,97,21183,101.0,9.0,960,-0.056365377857582645,0.294091796875,0.11102529,-0.06269457936286926,0.026802861083706376,-0.28868256248533725,0.2,0.9772258792072535,0.0003
9,200704,98,22252,101.0,9.0,970,-0.06550296985224122,0.3255859375,0.10379973,-0.06773805618286133,0.011422727661192766,-0.26965309483930466,0.2,0.9875491475686431,0.0003
9,202752,99,22353,101.0,9.0,980,-0.05041650482162367,0.311181640625,0.18034838,-0.09371023625135422,0.017249935364816338,-0.27630498735234144,0.2,0.9884228892624378,0.0003
8,204800,100,23086,101.0,9.0,990,-0.055399848974775526,0.398876953125,0.12312714,-0.10891801863908768,0.01527482187229907,-0.42805169280618427,0.2,0.969766465947032,0.0003
8,206848,101,23186,101.0,9.0,1000,-0.06534252030251082,0.44833984375,0.08078739,-0.08214550465345383,0.01515324810607126,-0.4722844673320651,0.2,0.9894334273412824,0.0003
8,208896,102,23286,101.0,9.0,1010,-0.048090665115159935,0.395849609375,0.07048504,0.025215527042746544,0.014674719003232894,-0.48844180880114435,0.2,0.9941613436676562,0.0003
